FIPS,state,county,pop_2020,under5_2020,pop_2024,under5_2024,under5_absolute_change,under5_pct_change
01073,Alabama,Jefferson County,674311,43070,664744,39161,-3909,-9.08
04013,Arizona,Maricopa County,4425315,261826,4673096,255112,-6714,-2.56
04019,Arizona,Pima County,1043441,53887,1080149,50823,-3064,-5.69
06001,California,Alameda County,1682296,93204,1649060,83210,-9994,-10.72
06013,California,Contra Costa County,1165983,63973,1172607,60973,-3000,-4.69
06019,California,Fresno County,1008649,73642,1024125,69662,-3980,-5.4
06029,California,Kern County,909233,67285,922529,61000,-6285,-9.34
06037,California,Los Angeles County,10017401,554913,9757179,474835,-80078,-14.43
06059,California,Orange County,3187256,180475,3170435,155310,-25165,-13.94
06065,California,Riverside County,2419967,147018,2529933,143188,-3830,-2.61
06067,California,Sacramento County,1585030,97890,1611231,92064,-5826,-5.95
06071,California,San Bernardino County,2181664,147413,2214281,133331,-14082,-9.55
06073,California,San Diego County,3298647,193884,3298799,177401,-16483,-8.5
06075,California,San Francisco County,878392,38205,827526,32604,-5601,-14.66
06077,California,San Joaquin County,779232,52533,816108,50230,-2303,-4.38
06081,California,San Mateo County,764659,41634,742893,36811,-4823,-11.58
06085,California,Santa Clara County,1936278,109118,1926325,94243,-14875,-13.63
06099,California,Stanislaus County,553285,38400,556972,35648,-2752,-7.17
06111,California,Ventura County,844363,46415,835427,43529,-2886,-6.22
08001,Colorado,Adams County,519575,34549,542973,33761,-788,-2.28
08005,Colorado,Arapahoe County,655077,38738,666918,37957,-781,-2.02
08031,Colorado,Denver County,715513,40150,729019,38263,-1887,-4.7
08041,Colorado,El Paso County,731781,46502,752772,44999,-1503,-3.23
08059,Colorado,Jefferson County,582944,28672,578533,26058,-2614,-9.12
09110,Connecticut,Capitol Planning Region,977685,49870,991508,49386,-484,-0.97
09170,Connecticut,South Central Connecticut Planning Region,570732,28543,576718,28634,91,0.32
09190,Connecticut,Western Connecticut Planning Region,620884,32740,637013,34567,1827,5.58
10003,Delaware,New Castle County,570721,31927,588093,31548,-379,-1.19
11001,District of Columbia,District of Columbia,689545,42748,702250,39438,-3310,-7.74
12009,Florida,Brevard County,606607,27360,658447,27874,514,1.88
12011,Florida,Broward County,1944404,109695,2037472,108429,-1266,-1.15
12031,Florida,Duval County,995561,66064,1055159,64065,-1999,-3.03
12057,Florida,Hillsborough County,1459774,85800,1581426,87151,1351,1.57
12071,Florida,Lee County,760822,34116,860959,38789,4673,13.7
12086,Florida,Miami-Dade County,2701751,153518,2838461,151686,-1832,-1.19
12095,Florida,Orange County,1429910,84127,1533646,85005,878,1.04
12099,Florida,Palm Beach County,1492202,75042,1582055,78204,3162,4.21
12101,Florida,Pasco County,561890,28150,659114,31500,3350,11.9
12103,Florida,Pinellas County,959111,39732,965870,36279,-3453,-8.69
12105,Florida,Polk County,725036,40923,852878,47807,6884,16.82
12127,Florida,Volusia County,553544,25275,602772,25973,698,2.76
13067,Georgia,Cobb County,766086,45099,787538,43588,-1511,-3.35
13089,Georgia,DeKalb County,764532,52631,770307,48105,-4526,-8.6
13121,Georgia,Fulton County,1066546,59114,1090354,57690,-1424,-2.41
13135,Georgia,Gwinnett County,957290,60713,1003869,59087,-1626,-2.68
15003,Hawaii,Honolulu County,1016494,61745,998747,53980,-7765,-12.58
17031,Illinois,Cook County,5278969,310963,5182617,262467,-48496,-15.6
17043,Illinois,DuPage County,933031,53831,937142,50917,-2914,-5.41
17089,Illinois,Kane County,516722,31235,520997,28658,-2577,-8.25
17097,Illinois,Lake County,714412,39846,718604,36889,-2957,-7.42
17197,Illinois,Will County,697353,39339,708583,37313,-2026,-5.15
18097,Indiana,Marion County,977206,70189,981628,69004,-1185,-1.69
20091,Kansas,Johnson County,609860,37431,632276,35497,-1934,-5.17
20173,Kansas,Sedgwick County,523831,34591,536081,33253,-1338,-3.87
21111,Kentucky,Jefferson County,782987,48708,793881,48439,-269,-0.55
24003,Maryland,Anne Arundel County,592643,36091,602350,34618,-1473,-4.08
